record-000000 valor=0
record-000311 valor=2177
record-000312 valor=2184
record-000313 valor=2191
record-000314 valor=2198
record-000315 valor=2205
record-000316 valor=2212
record-000317 valor=2219
record-000318 valor=2226
record-000319 valor=2233
record-000320 valor=2240
record-000321 valor=2247
record-000322 valor=2254
record-000323 valor=2261
record-000324 valor=2268
record-000325 valor=2275
record-000326 valor=2282
record-000327 valor=2289
record-000328 valor=2296
record-000329 valor=2303
record-000330 valor=2310
record-000331 valor=2317
record-000332 valor=2324
record-000333 valor=2331
record-000334 valor=2338
record-000335 valor=2345
record-000336 valor=2352
record-000337 valor=2359
record-000338 valor=2366
record-000339 valor=2373
record-000340 valor=2380
record-000341 valor=2387
record-000342 valor=2394
record-000343 valor=2401
record-000344 valor=2408
record-000345 valor=2415
record-000346 valor=2422
record-000347 valor=2429
record-000348 valor=2436
record-000349 valor=2443
record-000350 valor=2450
record-000351 valor=2457
record-000352 valor=2464
record-000353 valor=2471
record-000354 valor=2478
record-000355 valor=2485
record-000356 valor=2492
record-000357 valor=2499
record-000358 valor=2506
record-000359 valor=2513
record-000360 valor=2520
record-000361 valor=2527
record-000362 valor=2534
record-000363 valor=2541
record-000364 valor=2548
record-000365 valor=2555
record-000366 valor=2562
record-000367 valor=2569
record-000368 valor=2576
record-000369 valor=2583
record-000370 valor=2590
record-000371 valor=2597
record-000372 valor=2604
record-000373 valor=2611
record-000374 valor=2618
record-000375 valor=2625
record-000376 valor=2632
record-000377 valor=2639
record-000378 valor=2646
record-000379 valor=2653
record-000380 valor=2660
record-000381 valor=2667
record-000382 valor=2674
record-000383 valor=2681
record-000384 valor=2688
record-000385 valor=2695
record-000386 valor=2702
record-000387 valor=2709
record-000388 valor=2716
record-000389 valor=2723
record-000390 valor=2730
record-000391 valor=2737
record-000392 valor=2744
record-000393 valor=2751
record-000394 valor=2758
record-000395 valor=2765
record-000396 valor=2772
record-000397 valor=2779
record-000398 valor=2786
record-000399 valor=2793
record-000400 valor=2800
record-000401 valor=2807
record-000402 valor=2814
record-000403 valor=2821
record-000404 valor=2828
record-000405 valor=2835
record-000406 valor=2842
record-000407 valor=2849
record-000408 valor=2856
record-000409 valor=2863
record-000410 valor=2870
record-000411 valor=2877
record-000412 valor=2884
record-000413 valor=2891
record-000414 valor=2898
record-000415 valor=2905
record-000416 valor=2912
record-000417 valor=2919
record-000418 valor=2926
record-000419 valor=2933
record-000420 valor=2940
record-000421 valor=2947
record-000422 valor=2954
record-000423 valor=2961
record-000424 valor=2968
record-000425 valor=2975
record-000426 valor=2982
record-000427 valor=2989
record-000428 valor=2996
record-000429 valor=3003
record-000430 valor=3010
record-000431 valor=3017
record-000432 valor=3024
record-000433 valor=3031
record-000434 valor=3038
record-000435 valor=3045
record-000436 valor=3052
record-000437 valor=3059
record-000438 valor=3066
record-000439 valor=3073
record-000440 valor=3080
record-000441 valor=3087
record-000442 valor=3094
record-000443 valor=3101
record-000444 valor=3108
record-000445 valor=3115
record-000446 valor=3122
record-000447 valor=3129
record-000448 valor=3136
record-000449 valor=3143
record-000450 valor=3150
record-000451 valor=3157
record-000452 valor=3164
record-000453 valor=3171
record-000454 valor=3178
record-000455 valor=3185
record-000456 valor=3192
record-000457 valor=3199
record-000458 valor=3206
record-000459 valor=3213
record-000460 valor=3220
record-000461 valor=3227
record-000462 valor=3234
record-000463 valor=3241
record-000464 valor=3248
record-000465 valor=3255
record-000466 valor=3262
record-000467 valor=3269
record-000468 valor=3276
record-000469 valor=3283
record-000470 valor=3290
record-000471 valor=3297
record-000472 valor=3304
record-000473 valor=3311
record-000474 valor=3318
record-000475 valor=3325
record-000476 valor=3332
record-000477 valor=3339
record-000478 valor=3346
record-000479 valor=3353
record-000480 valor=3360
record-000481 valor=3367
record-000482 valor=3374
record-000483 valor=3381
record-000484 valor=3388
record-000485 valor=3395
record-000486 valor=3402
record-000487 valor=3409
record-000488 valor=3416
record-000489 valor=3423
record-000490 valor=3430
record-000491 valor=3437
record-000492 valor=3444
record-000493 valor=3451
record-000494 valor=3458
record-000495 valor=3465
record-000496 valor=3472
record-000497 valor=3479
record-000498 valor=3486
record-000499 valor=3493
record-000500 valor=3500
record-000501 valor=3507
record-000502 valor=3514
record-000503 valor=3521
record-000504 valor=3528
record-000505 valor=3535
record-000506 valor=3542
record-000507 valor=3549
record-000508 valor=3556
record-000509 valor=3563
record-000510 valor=3570
record-000511 valor=3577
record-000512 valor=3584
record-000513 valor=3591
record-000514 valor=3598
record-000515 valor=3605
record-000516 valor=3612
record-000517 valor=3619
record-000518 valor=3626
record-000519 valor=3633
record-000520 valor=3640
record-000521 valor=3647
record-000522 valor=3654
record-000523 valor=3661
record-000524 valor=3668
record-000525 valor=3675
record-000526 valor=3682
record-000527 valor=3689
record-000528 valor=3696
record-000529 valor=3703
record-000530 valor=3710
record-000531 valor=3717
record-000532 valor=3724
record-000533 valor=3731
record-000534 valor=3738
record-000535 valor=3745
record-000536 valor=3752
record-000537 valor=3759
record-000538 valor=3766
record-000539 valor=3773
record-000540 valor=3780
record-000541 valor=3787
record-000542 valor=3794
record-000543 valor=3801
record-000544 valor=3808
record-000545 valor=3815
record-000546 valor=3822
record-000547 valor=3829
record-000548 valor=3836
record-000549 valor=3843
record-000550 valor=3850
record-000551 valor=3857
record-000552 valor=3864
record-000553 valor=3871
record-000554 valor=3878
record-000555 valor=3885
record-000556 valor=3892
record-000557 valor=3899
record-000558 valor=3906
record-000559 valor=3913
record-000560 valor=3920
record-000561 valor=3927
record-000562 valor=3934
record-000563 valor=3941
record-000564 valor=3948
record-000565 valor=3955
record-000566 valor=3962
record-000567 valor=3969
record-000568 valor=3976
record-000569 valor=3983
record-000570 valor=3990
record-000571 valor=3997
record-000572 valor=4004
record-000573 valor=4011
record-000574 valor=4018
record-000575 valor=4025
record-000576 valor=4032
record-000577 valor=4039
record-000578 valor=4046
record-000579 valor=4053
record-000580 valor=4060
record-000581 valor=4067
record-000582 valor=4074
record-000583 valor=4081
record-000584 valor=4088
record-000585 valor=4095
record-000586 valor=4102
record-000587 valor=4109
record-000588 valor=4116
record-000589 valor=4123
record-000590 valor=4130
record-000591 valor=4137
record-000592 valor=4144
record-000593 valor=4151
record-000594 valor=4158
record-000595 valor=4165
record-000596 valor=4172
record-000597 valor=4179
record-000598 valor=4186
record-000599 valor=4193
record-000600 valor=4200
record-000601 valor=4207
record-000602 valor=4214
record-000603 valor=4221
record-000604 valor=4228
record-000605 valor=4235
record-000606 valor=4242
record-000607 valor=4249
record-000608 valor=4256
record-000609 valor=4263
record-000610 valor=4270
record-000611 valor=4277
record-000612 valor=4284
record-000613 valor=4291
record-000614 valor=4298
record-000615 valor=4305
record-000616 valor=4312
record-000617 valor=4319
record-000618 valor=4326
record-000619 valor=4333
record-000620 valor=4340
record-000621 valor=4347
record-000622 valor=4354
record-000623 valor=4361
record-000624 valor=4368
record-000625 valor=4375
record-000626 valor=4382
record-000627 valor=4389
record-000628 valor=4396
record-000629 valor=4403
record-000630 valor=4410
record-000631 valor=4417
record-000632 valor=4424
record-000633 valor=4431
record-000634 valor=4438
record-000635 valor=4445
record-000636 valor=4452
record-000637 valor=4459
record-000638 valor=4466
record-000639 valor=4473
record-000640 valor=4480
record-000641 valor=4487
record-000642 valor=4494
record-000643 valor=4501
record-000644 valor=4508
record-000645 valor=4515
record-000646 valor=4522
record-000647 valor=4529
record-000648 valor=4536
record-000649 valor=4543
record-000650 valor=4550
record-000651 valor=4557
record-000652 valor=4564
record-000653 valor=4571
record-000654 valor=4578
record-000655 valor=4585
record-000656 valor=4592
record-000657 valor=4599
record-000658 valor=4606
record-000659 valor=4613
record-000660 valor=4620
record-000661 valor=4627
record-000662 valor=4634
record-000663 valor=4641
record-000664 valor=4648
record-000665 valor=4655
record-000666 valor=4662
record-000667 valor=4669
record-000668 valor=4676
record-000669 valor=4683
record-000670 valor=4690
record-000671 valor=4697
record-000672 valor=4704
record-000673 valor=4711
record-000674 valor=4718
record-000675 valor=4725
record-000676 valor=4732
record-000677 valor=4739
record-000678 valor=4746
record-000679 valor=4753
record-000680 valor=4760
record-000681 valor=4767
record-000682 valor=4774
record-000683 valor=4781
record-000684 valor=4788
record-000685 valor=4795
record-000686 valor=4802
record-000687 valor=4809
record-000688 valor=4816
record-000689 valor=4823
record-000690 valor=4830
record-000691 valor=4837
record-000692 valor=4844
record-000693 valor=4851
record-000694 valor=4858
record-000695 valor=4865
record-000696 valor=4872
record-000697 valor=4879
record-000698 valor=4886
record-000699 valor=4893
record-000700 valor=4900
record-000701 valor=4907
record-000702 valor=4914
record-000703 valor=4921
record-000704 valor=4928
record-000705 valor=4935
record-000706 valor=4942
record-000707 valor=4949
record-000708 valor=4956
record-000709 valor=4963
record-000710 valor=4970
record-000711 valor=4977
record-000712 valor=4984
record-000713 valor=4991
record-000714 valor=4998
record-000715 valor=5005
record-000716 valor=5012
record-000717 valor=5019
record-000718 valor=5026
record-000719 valor=5033
record-000720 valor=5040
record-000721 valor=5047
record-000722 valor=5054
record-000723 valor=5061
record-000724 valor=5068
record-000725 valor=5075
record-000726 valor=5082
record-000727 valor=5089
record-000728 valor=5096
record-000729 valor=5103
record-000730 valor=5110
record-000731 valor=5117
record-000732 valor=5124
record-000733 valor=5131
record-000734 valor=5138
record-000735 valor=5145
record-000736 valor=5152
record-000737 valor=5159
record-000738 valor=5166
record-000739 valor=5173
record-000740 valor=5180
record-000741 valor=5187
record-000742 valor=5194
record-000743 valor=5201
record-000744 valor=5208
record-000745 valor=5215
record-000746 valor=5222
record-000747 valor=5229
record-000748 valor=5236
record-000749 valor=5243
record-000750 valor=5250
record-000751 valor=5257
record-000752 valor=5264
record-000753 valor=5271
record-000754 valor=5278
record-000755 valor=5285
record-000756 valor=5292
record-000757 valor=5299
record-000758 valor=5306
record-000759 valor=5313
record-000760 valor=5320
record-000761 valor=5327
record-000762 valor=5334
record-000763 valor=5341
record-000764 valor=5348
record-000765 valor=5355
record-000766 valor=5362
record-000767 valor=5369
record-000768 valor=5376
record-000769 valor=5383
record-000770 valor=5390
record-000771 valor=5397
record-000772 valor=5404
record-000773 valor=5411
record-000774 valor=5418
record-000775 valor=5425
record-000776 valor=5432
record-000777 valor=5439
record-000778 valor=5446
record-000779 valor=5453
record-000780 valor=5460
record-000781 valor=5467
record-000782 valor=5474
record-000783 valor=5481
record-000784 valor=5488
record-000785 valor=5495
record-000786 valor=5502
record-000787 valor=5509
record-000788 valor=5516
record-000789 valor=5523
record-000790 valor=5530
record-000791 valor=5537
record-000792 valor=5544
record-000793 valor=5551
record-000794 valor=5558
record-000795 valor=5565
record-000796 valor=5572
record-000797 valor=5579
record-000798 valor=5586
record-000799 valor=5593
record-000800 valor=5600
record-000801 valor=5607
record-000802 valor=5614
record-000803 valor=5621
record-000804 valor=5628
record-000805 valor=5635
record-000806 valor=5642
record-000807 valor=5649
record-000808 valor=5656
record-000809 valor=5663
record-000810 valor=5670
record-000811 valor=5677
record-000812 valor=5684
record-000813 valor=5691
record-000814 valor=5698
record-000815 valor=5705
record-000816 valor=5712
record-000817 valor=5719
record-000818 valor=5726
record-000819 valor=5733
record-000820 valor=5740
record-000821 valor=5747
record-000822 valor=5754
record-000823 valor=5761
record-000824 valor=5768
record-000825 valor=5775
record-000826 valor=5782
record-000827 valor=5789
record-000828 valor=5796
record-000829 valor=5803
record-000830 valor=5810
record-000831 valor=5817
record-000832 valor=5824
record-000833 valor=5831
record-000834 valor=5838
record-000835 valor=5845
record-000836 valor=5852
record-000837 valor=5859
record-000838 valor=5866
record-000839 valor=5873
record-000840 valor=5880
record-000841 valor=5887
record-000842 valor=5894
record-000843 valor=5901
record-000844 valor=5908
record-000845 valor=5915
record-000846 valor=5922
record-000847 valor=5929
record-000848 valor=5936
record-000849 valor=5943
record-000850 valor=5950
record-000851 valor=5957
record-000852 valor=5964
record-000853 valor=5971
record-000854 valor=5978
record-000855 valor=5985
record-000856 valor=5992
record-000857 valor=5999
record-000858 valor=6006
record-000859 valor=6013
record-000860 valor=6020
record-000861 valor=6027
record-000862 valor=6034
record-000863 valor=6041
record-000864 valor=6048
record-000865 valor=6055
record-000866 valor=6062
record-000867 valor=6069
record-000868 valor=6076
record-000869 valor=6083
record-000870 valor=6090
record-000871 valor=6097
record-000872 valor=6104
record-000873 valor=6111
record-000874 valor=6118
record-000875 valor=6125
record-000876 valor=6132
record-000877 valor=6139
record-000878 valor=6146
record-000879 valor=6153
record-000880 valor=6160
record-000881 valor=6167
record-000882 valor=6174
record-000883 valor=6181
record-000884 valor=6188
record-000885 valor=6195
record-000886 valor=6202
record-000887 valor=6209
record-000888 valor=6216
record-000889 valor=6223
record-000890 valor=6230
record-000891 valor=6237
record-000892 valor=6244
record-000893 valor=6251
record-000894 valor=6258
record-000895 valor=6265
record-000896 valor=6272
record-000897 valor=6279
record-000898 valor=6286
record-000899 valor=6293
record-000900 valor=6300
record-000901 valor=6307
record-000902 valor=6314
record-000903 valor=6321
record-000904 valor=6328
record-000905 valor=6335
record-000906 valor=6342
record-000907 valor=6349
record-000908 valor=6356
record-000909 valor=6363
record-000910 valor=6370
record-000911 valor=6377
record-000912 valor=6384
record-000913 valor=6391
record-000914 valor=6398
record-000915 valor=6405
record-000916 valor=6412
record-000917 valor=6419
record-000918 valor=6426
record-000919 valor=6433
record-000920 valor=6440
record-000921 valor=6447
record-000922 valor=6454
record-000923 valor=6461
record-000924 valor=6468
record-000925 valor=6475
record-000926 valor=6482
record-000927 valor=6489
record-000928 valor=6496
record-000929 valor=6503
record-000930 valor=6510
record-000931 valor=6517
record-000932 valor=6524
record-000933 valor=6531
record-000934 valor=6538
record-000935 valor=6545
record-000936 valor=6552
record-000937 valor=6559
record-000938 valor=6566
record-000939 valor=6573
record-000940 valor=6580
record-000941 valor=6587
record-000942 valor=6594
record-000943 valor=6601
record-000944 valor=6608
record-000945 valor=6615
record-000946 valor=6622
record-000947 valor=6629
record-000948 valor=6636
record-000949 valor=6643
record-000950 valor=6650
record-000951 valor=6657
record-000952 valor=6664
record-000953 valor=6671
record-000954 valor=6678
record-000955 valor=6685
record-000956 valor=6692
record-000957 valor=6699
record-000958 valor=6706
record-000959 valor=6713
record-000960 valor=6720
record-000961 valor=6727
record-000962 valor=6734
record-000963 valor=6741
record-000964 valor=6748
record-000965 valor=6755
record-000966 valor=6762
record-000967 valor=6769
record-000968 valor=6776
record-000969 valor=6783
record-000970 valor=6790
record-000971 valor=6797
record-000972 valor=6804
record-000973 valor=6811
record-000974 valor=6818
record-000975 valor=6825
record-000976 valor=6832
record-000977 valor=6839
record-000978 valor=6846
record-000979 valor=6853
record-000980 valor=6860
record-000981 valor=6867
record-000982 valor=6874
record-000983 valor=6881
record-000984 valor=6888
record-000985 valor=6895
record-000986 valor=6902
record-000987 valor=6909
record-000988 valor=6916
record-000989 valor=6923
record-000990 valor=6930
record-000991 valor=6937
record-000992 valor=6944
record-000993 valor=6951
record-000994 valor=6958
record-000995 valor=6965
record-000996 valor=6972
record-000997 valor=6979
record-000998 valor=6986
record-000999 valor=6993
